,Smiles,MW,LogP,NumHDonors,NumHAcceptors
140,Cc1nn(C)c(C)c1NS(=O)(=O)c1ccc(-c2cccc(CCO)c2)cc1,385.4890000000001,3.0395400000000015,2,5
141,COc1cc(C(=O)Nc2c(C(=O)c3ccc(F)cc3)[nH]c3cc(Cl)ccc23)cc(OC)c1OC,482.89500000000015,5.469500000000004,2,5
142,N#Cc1cc(F)cc(Nc2ncc3c(n2)CCCC3=O)c1,282.27799999999996,2.7499800000000008,1,5
143,O=C(c1ccc(CNc2c(N3CCOCC3)c(=O)c2=O)cc1)N1CC=C(c2ccccc2)CC1,457.5300000000002,2.660800000000001,1,6
144,CN1CCN(C(=O)c2ccc3c(-c4nc5ccccc5[nH]4)n[nH]c3c2)CC1,360.4210000000001,2.4938000000000002,2,4
145,O=S(=O)(Nc1cc(C(F)(F)F)ccc1N1CCCCC1)c1cc(Cl)cc(Cl)c1,453.3130000000002,5.803300000000004,1,3
146,Cc1cc(CCC(=O)Nc2nnn[nH]2)ccc1Br,310.15500000000003,1.8419199999999998,2,4
147,Cc1cccnc1-c1cc(N2CCC(C(=O)NC3CCS(=O)(=O)CC3)CC2)ncc1Cl,463.00300000000027,3.015220000000001,1,6
148,CCOCCCNC(=O)C1c2cc(OC)c(OC)cc2C(=O)N2CCCCC12,390.48000000000025,2.3385,1,5
149,CCCC[C@@]12CCC(=O)C(CC)=C1c1ccc3[nH]nnc3c1C2,309.41300000000007,4.217100000000003,1,3
150,CCOP(=O)(Cc1ccc(-c2nc3ccc(O)cc3s2)cc1)OCC,377.40200000000016,5.435000000000005,1,6
151,CCC(C)C(=O)c1c(O)cc(O)cc1OC/C=C(\C)CCC1OC1(C)C,362.4660000000002,4.609300000000004,2,5
152,CN(C)CCOc1ccc(C[C@H](NC(=O)c2ccccc2)C(=O)N2CCOCC2)cc1,425.5290000000002,1.8268999999999997,1,5
153,CCN(CC)CCC1(c2ccccc2)CCC(=O)NC1=O,288.391,2.0928999999999998,1,3
154,c1ccc(CNCCNc2nc3ccccc3s2)cc1,283.40000000000003,3.498000000000001,2,4
155,COC1=CC(=O)N(CCCNc2ccnc3cc(Cl)ccc23)C1(O)Cc1ccccc1,437.9270000000002,3.9940000000000024,2,5
156,CCC(C)C(=O)Nc1nc2c(s1)C(=O)CC(C(=O)N1CCN(c3cccc(Cl)c3)CC1)C2,475.01400000000024,3.8750000000000036,1,6
157,O=C(Nc1ccc2c(c1)OCO2)Nc1nnc(Cc2ccccc2)o1,338.32300000000004,3.033100000000001,2,6
158,CCn1ccnc1COCC(O)CN1CCc2ccccc2C1,315.41700000000003,1.8387999999999998,1,5
159,CC(C)n1nc(C#Cc2cccc(O)c2)c2c(N)ncnc21,293.33000000000004,2.0947999999999998,2,6
160,CC(=O)c1cn(CC(=O)N2[C@H](C(=O)N[C@H](CCO)c3cccc(Cl)c3F)C[C@H]3C[C@H]32)c2ccccc12,511.9810000000002,3.865700000000003,2,5
161,Cc1cccc(C(O)c2ccnc(Nc3ccc(C#N)cc3)n2)c1,316.36400000000003,3.482000000000001,2,5
162,COc1nc([N+](=O)[O-])cn1CC(O)c1ccc(Cl)cc1Cl,332.14300000000003,2.840300000000001,1,6
163,Cc1noc(C)c1S(=O)(=O)NCc1ccc(CN(C)C)cc1.Cl,359.87899999999996,2.253340000000001,1,5
164,COC[C@]12C[C@H]1[C@@](CF)(c1cc(/C=C/c3ccc(Cl)cn3)ccc1F)N=C(N)S2,435.9270000000001,4.675900000000004,1,5
165,COc1ccc(C(=O)NC(=S)NC(C)C)cc1Br,331.235,2.4704000000000006,2,3
166,COc1ccc(/C=C/C(=O)Nc2nc3n(n2)C(c2ccccc2)C=C(c2ccccc2)N3)cc1,449.51400000000007,4.994600000000004,2,6
167,Cc1cc(NC(=O)c2ccc3ccccc3c2)ccc1Cn1nc(C)c(CC(=O)O)c1C,427.5040000000003,4.889260000000004,2,4
168,COc1cc(Cl)ccc1-c1ncc(F)c2cc(S(=O)(=O)Nc3ccncn3)ccc12,444.8750000000001,4.293700000000003,1,6
169,C#CCN1C(=O)C2(SCC(=O)N2NC(=O)C(C)Oc2cc(Cl)c(Cl)cc2Cl)c2ccccc21,524.8130000000002,3.853500000000003,1,5
170,CC(=O)c1c(C(=O)N2CCN(Cc3ccc(F)cc3)CC2)[nH]c2ccccc12,379.4350000000001,3.467600000000002,1,3
171,O=C(Cc1nnc(-c2cccs2)o1)NC1CCCCCC1,305.4030000000002,3.1796000000000015,1,5
172,O=C(O)CCc1cc(F)c(OCc2c(-c3ccc(F)cc3)noc2C(F)(F)F)c(F)c1,445.31500000000005,5.373900000000003,1,4
173,CC(C)(C)NC(=O)N1CCn2c(c(C(N)=O)c(-c3ccc(Oc4ccccc4)cc3)c2C2CC2)C1,472.5890000000002,5.247400000000004,2,4
174,CN1C[C@H]2[C@@H]3CC[C@H](C(=O)NC(C)(C)C)[C@@]3(C)CC[C@@H]2[C@@]2(C)CCC(=O)C=C12,386.5800000000002,4.158300000000003,1,3
175,CC(C)C1OC(CCc2ccccc2)Cc2n[nH]c(O)c21,286.37500000000006,3.386500000000002,2,3
176,Cc1csc2nc([C@H](C)NC(=O)CCC(=O)c3ccccc3)oc(=O)c12,370.43000000000006,3.398220000000002,1,6
177,Cc1ccc(C)c(C2=C(OC(=O)Cc3ccc(Cl)cc3Cl)C3(CCC(=O)CC3)NC2=O)c1,472.36800000000034,5.118940000000004,1,4
178,CC(C)C[C@H]1CN(CCCC[C@H]2CNC(=O)C(=O)N2CC2CCCCC2)C(=O)C(=O)N1CCC1CCCCC1,544.7810000000003,4.119900000000003,1,4
179,Cc1cccc(C)c1NC(=O)N/N=C/c1ccc(N(C)C)cc1,310.40100000000007,3.5250400000000024,2,3
180,CC(=O)Nc1cccc(OCCNC(=O)N(C)Cc2ccco2)c1,331.372,2.4584,2,4
